Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Type
Phagosome	8/180	0.011499009560572	1	0	0	2.63765248928454	11.7784223474833	MRC2;MSR1;DYNC1H1;H2-K1;H2-M3;PIK3C3;TLR6;THBS4	Down
ECM-receptor interaction	5/83	0.013131798574232	1	0	0	3.57513138607844	15.4900383182762	LAMA5;COL2A1;IBSP;TNN;THBS4	Down
PI3K-Akt signaling pathway	12/357	0.018505339304423	1	0	0	1.99486322718999	7.95889779315889	LAMA5;ANGPT4;CDKN1B;COL2A1;IBSP;TNN;FLT4;LPAR1;IGF2;VEGFB;THBS4;ATF4	Down
Focal adhesion	8/199	0.019887843570484	1	0	0	2.38581632196591	9.34678522527756	LAMA5;COL2A1;IBSP;TNN;FLT4;VEGFB;THBS4;MYL12B	Down
MAPK signaling pathway	10/294	0.027978267796233	1	0	0	2.01861159894225	7.21921560851433	HSPA8;CACNG7;ANGPT4;MEF2C;GADD45A;FLT4;IGF2;VEGFB;ECSIT;ATF4	Down
AGE-RAGE signaling pathway in diabetic complications	5/101	0.028131139394376	1	0	0	2.93797925786644	10.4911659450052	CDKN1B;VEGFB;PLCE1;NOX4;AGTR1A	Down
Apoptosis	6/141	0.032403362608103	1	0	0	2.52541195782562	8.66088282686626	CASP12;PARP4;GADD45A;CTSH;CTSC;ATF4	Down
Nucleotide excision repair	3/43	0.035640886283013	1	0	0	4.14050100062108	13.8055143566613	XPA;ERCC5;GTF2H3	Down
Steroid biosynthesis	2/19	0.040080813806693	1	0	0	6.24707168514759	20.0959395149365	EBP;CYP51	Down
Viral carcinogenesis	8/229	0.040795071930138	1	0	0	2.07326396537649	6.63277361956805	EGR2;CDKN2B;CDKN1B;CDKN2A;H2-K1;H2-M3;GTF2H3;ATF4	Down
Human papillomavirus infection	11/360	0.042460962388975	1	0	0	1.81338608638312	5.7287952075559	WNT10B;LAMA5;CDKN1B;COL2A1;IBSP;DLG3;TNN;IRF1;H2-K1;H2-M3;THBS4	Down
Thyroid hormone signaling pathway	5/115	0.045232498249953	1	0	0	2.58031221777835	7.98849042100646	BMP4;RCAN2;PLCE1;DIO3;SLC16A2	Down
Arginine and proline metabolism	3/50	0.05199438227154	1	0	0	3.56083086053412	10.5280223126754	ALDH4A1;ALDH2;AZIN2	Down
Cushing syndrome	6/159	0.052791329178523	1	0	0	2.23951626448687	6.58733177730082	WNT10B;CDKN2B;CDKN1B;CDKN2A;AGTR1A;ATF4	Down
Terpenoid backbone biosynthesis	2/23	0.05676245198031	1	0	0	5.1606244355567	14.8052134100582	GGPS1;PDSS2	Down
Cell cycle	5/123	0.05727809140002	1	0	0	2.4124870328822	6.89931986542005	CDKN2B;CDKN1B;GADD45A;CDKN2A;SFN	Down
Small cell lung cancer	4/92	0.070030241554279	1	0	0	2.58031221777835	6.8606066521056	LAMA5;CDKN2B;CDKN1B;GADD45A	Down
FoxO signaling pathway	5/132	0.072823138282197	1	0	0	2.24799928064023	5.8891321390415	CDKN2B;CDKN1B;GADD45A;SETD7;PRKAG2	Down
Lysine degradation	3/59	0.077380264181531	1	0	0	3.01765327163909	7.72224568415832	ALDH2;SETD7;PRDM2	Down
Transcriptional misregulation in cancer	6/183	0.089897862025648	1	0	0	1.94580921340663	4.6876122381321	MEF2C;CDKN1B;HPGD;GADD45A;NUPR1;GRIA3	Down
Basal cell carcinoma	3/63	0.090105314503568	1	0	0	2.82605623851915	6.80168470144425	BMP4;WNT10B;GADD45A	Down
Circadian rhythm	2/30	0.090459115461723	1	0	0	3.95647873392681	9.50685378122941	PRKAG2;BTRC	Down
Cellular senescence	6/185	0.093501281495312	1	0	0	1.92477343812655	4.56128986179974	CDKN2B;GADD45A;CDKN2A;H2-K1;H2-M3;BTRC	Down
Parathyroid hormone synthesis, secretion and action	4/107	0.107012613968204	1	0	0	2.21858620594026	4.95811545281925	MEF2C;MMP13;PTH1R;ATF4	Down
Type I diabetes mellitus	3/69	0.110687500176646	1	0	0	2.58031221777835	5.67938165873614	PTPRN;H2-K1;H2-M3	Down
p53 signaling pathway	3/71	0.117916058685361	1	0	0	2.50762736657333	5.36076133589159	CDKN2A;GADD45A;SFN	Down
Cytokine-cytokine receptor interaction	8/292	0.121820876261733	1	0	0	1.62595016462745	3.42295604327255	BMP4;GDF11;CCL8;CCL20;TNFSF12;LIFR;IL11RA1;CXCL16	Down
