Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Type
Cell cycle	13/123	1.57769856923567E-08	4.78042666478409E-06	0	0	7.65877223989631	137.587649515142	CDKN2D;GSK3B;PLK1;CDC6;ORC6;RBL1;CDC45;CCNE2;CCNE1;MCM4;MCM5;MCM6;SKP2	Up
DNA replication	5/35	0.000111635270859	0.01691274353518	0	0	10.351966873706	94.2057299257072	POLA1;POLD1;MCM4;MCM5;MCM6	Up
Cellular senescence	8/185	0.004258309183571	0.430089227540698	0	0	3.13356835095966	17.105783322377	MAP2K3;IL6;RBL1;CCNE2;CCNE1;MYBL2;CALM2;SIRT1	Up
Cushing syndrome	7/159	0.006663353769933	0.504749048072404	0	0	3.19022878497858	15.9866586750682	NR4A1;GSK3B;FZD3;NCEH1;CCNE2;CCNE1;FZD4	Up
Signaling pathways regulating pluripotency of stem cells	6/137	0.01196999006912	0.725381398188646	0	0	3.17359568390987	14.0442798764205	GSK3B;FZD3;FZD4;LIF;ID3;FGF2	Up
Breast cancer	6/147	0.01644792632202	0.830620279262012	0	0	2.95770482105886	12.1489377970085	GSK3B;FZD3;FZD4;TNFSF11;FGF2;ESR1	Up
Gastric cancer	6/150	0.017989841763655	0.778703150626785	0	0	2.89855072463768	11.6462261647913	GSK3B;FZD3;CCNE2;CCNE1;FZD4;FGF2	Up
TNF signaling pathway	5/110	0.018282954687148	0.692466908775713	0	0	3.29380764163373	13.1811136068951	MAP2K3;IL6;LIF;MAP2K7;CXCL3	Up
Homologous recombination	3/41	0.018836055440937	0.634147199844871	0	0	5.30222693531283	21.0603520851292	BARD1;RAD51;POLD1	Up
Thyroid hormone signaling pathway	5/115	0.021704329566961	0.65764118587891	0	0	3.15059861373661	12.0675599216202	GSK3B;KAT2A;DIO2;ATP1B1;ESR1	Up
Oocyte meiosis	5/116	0.022435158105097	0.61798662780403	0	0	3.12343828085957	11.8600886816814	CCNE2;CCNE1;PLK1;FBXO5;CALM2	Up
Neurotrophin signaling pathway	5/121	0.026328174902719	0.664786416293661	0	0	2.99437058330339	10.8908720330048	NGFR;GSK3B;NTRK3;MAP2K7;CALM2	Up
FoxO signaling pathway	5/132	0.036340072034545	0.847003217420554	0	0	2.74483970136144	9.09868860830486	CDKN2D;IL6;PLK1;SKP2;SIRT1	Up
Mismatch repair	2/22	0.036556737928298	0.791192256591017	0	0	6.58761528326746	21.7976927637217	EXO1;POLD1	Up
Proximal tubule bicarbonate reclamation	2/22	0.036556737928298	0.738446106151615	0	0	6.58761528326746	21.7976927637217	ATP1B1;AQP1	Up
Endocrine and other factor-regulated calcium reabsorption	3/55	0.040314691762788	0.763459475257797	0	0	3.95256916996047	12.6918550063029	VDR;ATP1B1;ESR1	Up
