""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Angptl2"	1279.91851013129	-1.89292031990983	0.255905951886638	-7.39693745282004	1.39361150401223e-13	1.83803421264173e-09
"Mmp9"	266.435353213833	-5.31270894149492	0.892073355532976	-5.95546196794635	2.59338206185466e-09	1.71020580069006e-05
"Acp5"	61.7943755394842	-3.28727989414701	0.599026432064639	-5.48770424506459	4.07191074284241e-08	0.000179014769291162
"Msr1"	22.7921249049665	-7.28558341663959	1.34956737940873	-5.39845844512894	6.72159318719313e-08	0.000221627731364726
"Spi1"	23.3087727952865	-4.91204739968389	0.921514361718	-5.33040786312462	9.79924393867023e-08	0.000258484456614243
"Arl4c"	827.03219622102	-1.38717668081958	0.271762371702174	-5.10437361924335	3.31891986937122e-07	0.000729553902618951
"Ammecr1"	113.536255792894	-1.39412737059143	0.299284165174979	-4.65820625617242	3.18976541982408e-06	0.00600997373172283
"Atp2b4"	187.56439225993	-1.31325854557926	0.285994853810436	-4.59189572148638	4.39237836784867e-06	0.00662454381005127
"Clec4a2"	8.24637430758431	-6.70883976320772	1.46292986089281	-4.58589296899946	4.52050150052782e-06	0.00662454381005127
"Podnl1"	106.201532562207	-1.40503367373069	0.319414494676942	-4.39877869397175	1.08861765720746e-05	0.01263195981897
"Ccdc25"	543.098384494802	-1.3096618904597	0.297339034928914	-4.40460799495365	1.05975337063609e-05	0.01263195981897
"Lcp1"	21.2095142904044	-3.51158778730519	0.800455521564265	-4.38698677528363	1.14931774833301e-05	0.01263195981897
"Igfbp5"	138.750972454337	-1.41010263061364	0.329145929526493	-4.28412598825757	1.83458937774031e-05	0.0172831423592979
"Tyrobp"	10.5999629520334	-5.93637615386517	1.38138270087956	-4.29741602387617	1.72800692609443e-05	0.0172831423592979
"Laptm5"	71.046881033517	-4.14334729610018	0.973670442598981	-4.25538982680886	2.08685104056885e-05	0.0178704324026884
"Cks1brt"	44.494109872624	-2.59739276880497	0.61160379677021	-4.24685520678815	2.16791961818951e-05	0.0178704324026884
"Jup"	139.673433860231	1.61975969065531	0.391737042971306	4.13481369637529	3.55242704259668e-05	0.0275605648616515
"Lyz2"	110.869153510014	-3.21385337058181	0.78345075632253	-4.10217661371269	4.09281665396088e-05	0.0299889771383833
"Scg2"	79.0988946249125	1.58542845834654	0.393414666049047	4.02991701928287	5.57965463961152e-05	0.0367950325209182
"Cybb"	6.05422443353129	-6.30917105183677	1.56462853786025	-4.03237631116267	5.5215677670973e-05	0.0367950325209182
"Mmp11"	84.6690135829413	1.87130405330251	0.470220823564814	3.97962820769161	6.90231287865459e-05	0.0433498116936073
"Ptbp3"	331.776999232972	-0.914141946373596	0.231090771107121	-3.9557700292144	7.62885223634509e-05	0.0451795867275551
"Ly6a"	2039.89379731381	-1.18542768605076	0.300255881632404	-3.94805816827278	7.87876635631031e-05	0.0451795867275551
"Tmsb4x"	5740.07962530301	-1.13808901374411	0.291614666702992	-3.90271527358824	9.51195733859328e-05	0.0464641501254469
"Ctss"	14.9304234401084	-3.85774415893273	0.985464120315027	-3.9146469966857	9.05365671301784e-05	0.0464641501254469
"Vav1"	4.27969784727035	-6.37420857690813	1.62453770312348	-3.92370615015736	8.71970834685928e-05	0.0464641501254469
"Pcyox1l"	399.532508574167	-1.05284949461074	0.269591005605758	-3.90535838628978	9.40858434446811e-05	0.0464641501254469
"Ntrk3"	35.9131232330441	2.11154964239969	0.558755710698982	3.77902113923494	0.000157446059318104	0.0741627170123741
"Lat2"	22.8046285022775	-2.55813504788464	0.685083239676042	-3.7340499660951	0.000188425086892704	0.085694430035444
"Fcer1g"	10.5730306181096	-3.28261210340651	0.892906023228037	-3.67632429170899	0.000236618698187455	0.0985354450262147
"Gjb5"	78.1806315944965	-1.35963703264103	0.370101217631405	-3.67368970397482	0.0002390730336522	0.0985354450262147
"Clec4d"	9.43229678199289	-4.44652046127062	1.20769910480973	-3.68181150715612	0.000231582606759457	0.0985354450262147
"Fhod1"	838.360175620258	-1.15245521427444	0.317867391359935	-3.6255848998662	0.000288308154605954	0.11522715912418
"Cdk6"	244.344885923471	-0.899943005350504	0.249472160004844	-3.60738851715169	0.000309294359826614	0.116574316509743
"B4galnt1"	45.6148519486688	1.74344387172568	0.483305030304028	3.60733649022636	0.000309356363472666	0.116574316509743
"Eya2"	152.921305116941	-1.20166392089723	0.333952354544783	-3.59830947302421	0.000320292361030022	0.11734266526736
"Rpl3"	1329.19919786089	0.865569570414978	0.243012393129983	3.56183303767557	0.000368274568214367	0.129919011950856
"Cfb"	501.192429338806	-1.15093083449735	0.323517271464644	-3.55755607509545	0.000374321211170865	0.129919011950856
"Rbm47"	11.6448668749954	-5.26127471643249	1.48867394733867	-3.5342021843253	0.000409008076919316	0.137060624379052
"Rbpms2"	86.8404771466762	-1.24119181247002	0.351620144788064	-3.52992236328819	0.000415681626746689	0.137060624379052
"Slc2a10"	345.801855988995	-1.15014098867683	0.328019161257326	-3.50632257051155	0.000454344237859808	0.146154784222756
"Mafb"	101.448259010083	1.22886193395973	0.352418412838384	3.48694020855054	0.000488580575496658	0.153425933576796
"Fbxo2"	44.8277107766857	-1.96250327396654	0.565593575351135	-3.46981182158614	0.000520823121698817	0.158804102603902
"Sh3rf1"	418.812035522901	-0.75280346915499	0.217245206250485	-3.46522476674124	0.000529788499095585	0.158804102603902
"Ctcf"	435.113106802357	-0.916334338833767	0.26555557785873	-3.45063111165843	0.000559277436568994	0.163918002464633
"Plp1"	12.2115126204429	-3.18786494380501	0.929903921300798	-3.42816593282633	0.000607673914593382	0.174230679555916
"Lilrb4a"	6.53189776310575	-4.30619460412452	1.26670655834682	-3.39952025648666	0.000675041794378907	0.189428217575817
