""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Il11"	156.236455647257	3.50103371634211	0.411651559734346	8.50484744574137	1.81834537216441e-17	1.75215760061763e-13
"Thbs4"	3632.37468244597	-1.71274173735495	0.212893042721714	-8.04508083241494	8.61885149878062e-16	4.1525626521125e-12
"Hspa8"	1711.3981326337	-2.33865883836497	0.29830194591573	-7.83990473540405	4.50888369150521e-15	1.44825344171147e-11
"Igfbp2"	983.24041922053	-2.20744895011859	0.284556577338467	-7.75750457348566	8.66167559475116e-15	2.08659765077556e-11
"Bmp4"	178.515057134191	-3.19135881667812	0.471413891532554	-6.76975980979919	1.28996369582893e-11	2.48601803460151e-08
"Ammecr1"	113.536255792894	-2.04785976219595	0.311823271023527	-6.56737310039132	5.12106209101914e-11	8.22442571817673e-08
"Nnmt"	211.438446700336	-2.1110713497574	0.342645458047174	-6.16109538351667	7.22434575740676e-10	9.94482795976736e-07
"Prg4"	1318.08074570701	-1.32331791387403	0.222319935868448	-5.95231331236563	2.64378629994703e-09	3.18444059828619e-06
"Aldh2"	237.644730136018	-1.73183284287497	0.298641561656327	-5.7990349141957	6.66976462870038e-09	7.14109466246187e-06
"Emb"	728.740501958078	1.37811461391718	0.242315641319176	5.68727056336384	1.29085856638464e-08	1.24387131456824e-05
"Depdc1a"	26.1243008800695	3.15911259122368	0.558442556553561	5.65700545946965	1.54036865497191e-08	1.34936294175539e-05
"Pdlim2"	1601.71577998009	-1.30012440850254	0.237589630355342	-5.4721428984845	4.44626072959624e-08	3.57034736586578e-05
"Akr1e1"	46.1417049861389	-3.03953926629255	0.562199723503963	-5.40651149265662	6.42641056294476e-08	4.42320658460969e-05
"Etv5"	169.453335429226	1.48651141898164	0.274630095382048	5.41277683683466	6.20548095187239e-08	4.42320658460969e-05
"Sfrp1"	1664.52905684757	1.15254353962788	0.214639583919284	5.36966909170537	7.88812461584434e-08	5.0673312532184e-05
"Map2k3"	1610.90493063984	1.45400868436552	0.273337291017433	5.31946694486258	1.04071718908641e-07	5.28077815017266e-05
"Ogn"	250.413900952614	-1.49717001971046	0.281342564447257	-5.32151977306348	1.02903923551216e-07	5.28077815017266e-05
"Atf4"	3051.22376274105	-1.3405988050949	0.252021914903795	-5.31937393463047	1.04124932392363e-07	5.28077815017266e-05
"Cfb"	501.192429338806	-1.61416880220181	0.302363736858727	-5.33849997678787	9.37187188398697e-08	5.28077815017266e-05
"Ccne1"	174.866910068801	1.4869298001666	0.286345621316413	5.19277994659306	2.07177007825328e-07	9.98178823702429e-05
"Phldb2"	968.291362774323	-1.18107702478581	0.22837239668378	-5.17171532959479	2.31954770819756e-07	0.000101596189619053
"Prdx3"	206.343858637925	-1.76936818039595	0.341741853397791	-5.1774992228897	2.24879880510255e-07	0.000101596189619053
"Nip7"	499.864286483586	1.07849789534494	0.209756454663968	5.14166725916827	2.72311075311369e-07	0.000114086500943493
"Emd"	1301.45539293443	1.27183996228113	0.249364331692819	5.10032831739487	3.39064813108637e-07	0.00011947130275762
"Wdhd1"	89.4880909430267	1.94917383983267	0.382501225317133	5.09586299551487	3.4715613088557e-07	0.00011947130275762
"Stc1"	389.710030258707	1.32480305872015	0.259444023729296	5.10631557311357	3.28500915136662e-07	0.00011947130275762
"Agtr1a"	28.7400353440411	-3.33095474896769	0.651435464646958	-5.11325362178874	3.16656685299681e-07	0.00011947130275762
"Dync1h1"	1025.51870441277	-1.368189874495	0.26783903913086	-5.10825411760282	3.25149169433728e-07	0.00011947130275762
"Cdkn1b"	111.840139087812	-1.84776536982044	0.364407053619603	-5.07060813303926	3.96546528180738e-07	0.00013176283950171
"Eva1b"	211.750597934013	1.81674159223264	0.360020667980422	5.04621471434921	4.50648953898402e-07	0.000144748443992167
"Adm"	6617.13794007612	-1.32863770872889	0.263693220687457	-5.0385736321362	4.69013984970345e-07	0.000145787701908847
"Cacng7"	95.0663296073131	-1.80647800494927	0.36388449321959	-4.9644270053001	6.89041948201973e-07	0.000207487756652319
"Gadd45a"	79.25093364583	-2.16451865412355	0.438521075342207	-4.93595125943361	7.97610267821439e-07	0.00023290219820386
"Hnrnpab"	2248.81805778007	1.04878892087058	0.213086400444488	4.92189514996199	8.57101332083601e-07	0.000242912601057576
"Kcne4"	107.258758362456	2.10374395546171	0.434643614049445	4.84015843661374	1.29735656130302e-06	0.000357180794991883
"Rgs2"	109.638599035977	2.09539920110248	0.434955974267167	4.81749722976653	1.45370108703036e-06	0.000378041197807406
"Ndnf"	145.420119708843	-1.71361022723662	0.356077666342408	-4.81246196886944	1.49082249031563e-06	0.000378041197807406
"Sdc1"	1109.0399459954	1.23828925788597	0.257161268151868	4.81522457400034	1.47034437320634e-06	0.000378041197807406
"Mcm6"	777.598478334844	1.22306333696348	0.255834810793663	4.78067598842094	1.74706742911862e-06	0.000420868543674675
"Ccdc25"	543.098384494802	-1.4148883573273	0.295913719704466	-4.78142195887496	1.74059574880981e-06	0.000420868543674675
"Mthfd2"	851.412906048214	0.989076879735039	0.207395189759321	4.76904445509487	1.85101813654029e-06	0.000435034408870787
"Rasa3"	782.575699991307	-1.10922786416059	0.234261465200196	-4.73499925910844	2.19055899252572e-06	0.000502576820285186
"Tnn"	504.844412644102	-1.33388461714222	0.282268435647528	-4.72558900920772	2.29449301368924e-06	0.000514179876276966
"Cdkn2a"	290.400741484519	-1.63845283744636	0.348180009610609	-4.70576366310847	2.52917387413562e-06	0.000553889078435701
"Rhebl1"	121.352980697746	1.57982566987068	0.336449433567717	4.69558130360981	2.65849597573767e-06	0.000569272604937959
"Rbm45"	138.904366314876	-1.86171291981883	0.39689888386479	-4.69064790933766	2.72341270865984e-06	0.000570495757840136
"Tmem176b"	294.861073088772	-1.25041007509636	0.268521174531397	-4.65665352938546	3.2139063146599e-06	0.000658919175490699
"Pde3b"	84.7454321368728	1.72037872415256	0.370114852136131	4.64822936508313	3.34796515622643e-06	0.000672104005112455
"Chil1"	53.8711372469068	2.68816293665675	0.583612186227095	4.60607746050514	4.10335591334275e-06	0.000806937501652465
"Gm10184"	340.541789758068	1.37679846166918	0.299853194443525	4.59157510135678	4.39913283437451e-06	0.000847800879840656
"Atxn7l3b"	924.350148367474	1.04852411823842	0.229512258738408	4.56848851561126	4.91253981065973e-06	0.000893155351236173
"Rspo2"	323.723575254065	-1.32462806674885	0.289908030358835	-4.56913202821352	4.89748206938056e-06	0.000893155351236173
"Lrfn4"	172.988398053993	1.80541555274927	0.394659766556956	4.57461263026598	4.77101894302221e-06	0.000893155351236173
"Ddah2"	505.724936088353	-1.31889567011451	0.289770181767277	-4.55152307967201	5.32589540589731e-06	0.000950376446874565
"Angpt4"	105.987436268151	-1.89037072625686	0.415924612154442	-4.54498404522146	5.49394154210983e-06	0.000962538558177642
"Cbr2"	181.590166944577	-1.32628911992711	0.293530497552754	-4.51840313352363	6.23077670824248e-06	0.0010533291993092
"Tmx1"	1196.57939267326	1.05575216662189	0.233481622828698	4.52177843305672	6.13222295125602e-06	0.0010533291993092
"H2-K1"	628.674944221415	-1.23308238434415	0.273312542895501	-4.51162018135264	6.43343143230139e-06	0.00106883698761476
"Cfl1"	1336.1526145184	-1.28928015219238	0.286683558237597	-4.49722390819447	6.88464743280907e-06	0.00112441462139912
"Ptx3"	10362.5606021834	-0.896032050392575	0.199611364098857	-4.48888295732912	7.15976195992194e-06	0.00114985777076346
"4930524J08Rik"	111.135798599553	1.61865705433929	0.361135644877183	4.48213040529347	7.39015597421489e-06	0.00116005955806318
"Mcm4"	344.554429258049	1.35468853973651	0.302385366060008	4.48000694407834	7.46406108342851e-06	0.00116005955806318
"Dazap1"	982.489527960025	1.21580432471798	0.272752142426697	4.45754271222539	8.29045218978061e-06	0.00126804440159882
