""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Ccl2"	7001.64264854155	3.62571482154474	0.215981987817247	16.7871166396183	3.03222799925389e-63	3.64018971310429e-59
"Ccl20"	996.266237297416	5.27809841728287	0.403715624549064	13.0738026876674	4.64825156230471e-39	2.7901130002734e-35
"Nfkbia"	995.404194971866	2.66963914188574	0.223194813870643	11.9610267621764	5.68545338057876e-33	2.27512892779493e-29
"Mmp3"	1004.59683224414	3.8785214811946	0.372205531404719	10.4203757170317	2.00160905292716e-25	6.00732917009763e-22
"Hspa8"	1711.3981326337	-3.28620312482465	0.326103227414302	-10.0771867573382	6.96929653932108e-24	1.67332809909099e-20
"Thbs4"	3632.37468244597	-2.29960886458185	0.233221259671323	-9.86020257253852	6.19243312760851e-23	1.23900266161567e-19
"Ccl7"	2719.74416211259	1.91461479466374	0.21039344075314	9.1001639015458	9.01956112796206e-20	1.54685473344549e-16
"Cxcl3"	170.121945635456	3.89942471467899	0.442859804090745	8.805099669601	1.30736352124185e-18	1.96186238406355e-15
"Igfbp2"	983.24041922053	-2.66919340870986	0.311434392189995	-8.57064433359523	1.02907616503099e-17	1.37267326235522e-14
"Nnmt"	211.438446700336	-3.14617421208693	0.37059101674287	-8.4896127265542	2.0732682651035e-17	2.48895855225676e-14
"Mest"	359.510616559185	-3.55972252974989	0.421123523005569	-8.45291781457388	2.84111671896306e-17	3.10069147374105e-14
"Sod2"	967.494237549242	1.84311383662826	0.22441714206252	8.21289238285904	2.15923056705171e-16	2.16013024645464e-13
"Cilp"	954.657487219049	-2.38646953471005	0.295939316812288	-8.06405029387756	7.38073711935691e-16	6.81582685522152e-13
"Il11"	156.236455647257	3.90394602100823	0.485083394655687	8.04798940557273	8.41652321775038e-16	7.21716865922095e-13
"Sned1"	879.028397675825	-2.45281558447206	0.308557655390493	-7.94929421332268	1.87577090302025e-15	1.50124197938388e-12
"Ecscr"	123.108035605638	3.82462340405095	0.486987287870601	7.85364115103391	4.04129512333962e-15	3.03223424723076e-12
"Fxyd6"	74.047812886151	-4.8180990185269	0.616730853097588	-7.81232038956305	5.61446202509202e-15	3.96480097713116e-12
"Saa3"	984.763141821019	8.58175771951448	1.12612168189839	7.62063092955242	2.52438764237878e-14	1.68362631370874e-11
"Timp3"	3733.7678916117	1.77730233150077	0.235781837978499	7.53791024253041	4.77562362902002e-14	3.01744008770449e-11
"Ptges"	392.491272196156	2.10357675894605	0.28470610773811	7.38859020503011	1.48393738034451e-13	8.53405222959131e-11
"Tmem26"	213.73149426454	-2.40639353318586	0.325725544332324	-7.38779495516238	1.49283712470985e-13	8.53405222959131e-11
"Gpx3"	915.180669139808	-2.70778476230537	0.370130520203942	-7.31575650884822	2.55935378196021e-13	1.39659282511056e-10
"Slco2a1"	122.261976312722	3.29788503138778	0.456318244381334	7.22716014973055	4.93198378103529e-13	2.57428109962299e-10
"Rbp1"	153.135031176883	3.14984379244097	0.45185912665718	6.97085353956061	3.15023800379995e-12	1.5757753014841e-09
"Slpi"	403.261697389063	2.74094514496306	0.394157868774678	6.95392725124037	3.55254857157807e-12	1.70593382407179e-09
