""	"WT1"	"WT2"	"C1"	"C2"	"C3"	"Tg197-1"	"Tg197-2"	"Tg197-3"	"Tg197-C1"	"Tg197-C3"
"Xkr4"	0	0	0	0	0	0	0	0	0	0
"Rp1"	-1.58932029233133	-1.60582150451919	-1.60521293378179	-1.60556603508845	-1.60822248616927	-1.60822682606748	-1.60959757442981	-1.61001017476124	-1.60762402924544	-1.513412466774
"Sox17"	-1.87957466824099	-1.88828008327117	-1.88795902438265	-1.88814530726825	-1.8579849666654	-1.88954903988602	-1.89027219484338	-1.89048986716259	-1.88923102709672	-1.88687124783657
"Mrpl15"	6.95642087855174	6.98603703646335	7.06506760151765	7.19307626019903	7.19193167149529	7.24166456904198	7.08523063309691	7.01407044912695	7.28580264565582	7.25698789131627
"Lypla1"	7.48273704253124	7.71882614430406	7.4759238132274	7.78586988331067	7.99132104184541	7.85878157143554	8.02518718709289	7.75677486762906	7.61651438268327	7.84104415345544
"Gm37988"	4.27712249482364	4.25360351929404	4.08075538968049	4.57530491189972	4.25792172503407	4.2577837022771	4.03908612180178	3.84317727318785	4.09076594877163	4.24195823245645
"Tcea1"	5.09613554674242	5.29684053704522	4.91538343859053	5.33531189960176	5.11340667447354	5.15530073567347	5.20187842708902	5.16055389405036	5.24708371327454	5.02967982701448
"Rgs20"	4.47086874958949	4.24484365965836	4.44957995533301	4.12915028577664	3.83056647009874	4.20495624821349	4.73070992337662	5.3151498170534	5.60167652406518	4.29037609459007
"Atp6v1h"	7.16658012421508	7.4747400750512	7.29272062105494	7.34304530323726	7.13457019534346	7.47175609739358	7.65015282384866	7.48322482958612	7.55754829330504	7.34608175016369
"Oprk1"	0	0	0	0	0	0	0	0	0	0
"Npbwr1"	0	0	0	0	0	0	0	0	0	0
"Rb1cc1"	7.57389106982174	7.66940989294509	7.57403827366167	7.52180334338729	7.44635922366039	7.34364982953436	7.53628708616704	7.64907339800311	7.19172944149218	6.87920938885311
"Alkal1"	2.99962260004765	3.30276631873025	2.98104979095491	3.11077438799248	3.67671754265499	3.1736046174062	3.12223628196262	3.06474381919888	3.10486922573219	2.9244318326689
"St18"	-0.653352999185966	-0.673728058508859	-0.673506199335537	-0.673635530388505	-0.674554792867341	-0.674556217152296	-0.615948330165936	-0.537306054035419	-0.641015473451098	-0.672717810986166
"Pcmtd1"	5.70251058103174	5.30852809922967	5.55867375489522	5.85461740748873	5.41344235192101	5.67450533122944	4.99706035181424	5.60026326213153	5.42599099293834	5.43491478611246
"Sntg1"	-1.87978383927117	-1.88814255866155	-1.88783428603496	-1.88801315015143	-1.88935878033338	-1.87420856541349	-1.87490292051814	-1.89026433727839	-1.88905563087766	-1.88678983050049
"Rrs1"	9.00305888469198	9.37399653644373	8.98883688118963	9.10297938475675	8.87659537516083	9.41026319499603	8.88239106247492	9.28347383708674	9.82393690484492	9.68755108793267
"Adhfe1"	4.07969938893979	4.34815818466068	4.42871495077745	4.29160510391078	4.29358364753014	4.3307077782624	4.38828899885379	4.12541840890071	4.55109579084994	4.15485822504233
"3110035E14Rik"	-1.8801131034764	-1.88792597069129	-1.88763782929246	-1.88780501298727	-1.88906276904306	-1.88906482386474	-1.88971383527178	-1.86158336946597	-1.88877941625501	-1.88666158017803
"Mybl1"	1.8012005101287	1.95817938303628	1.72120487305524	1.67958838148606	1.67393630647014	1.86779317439443	1.87992034074736	1.92600571821018	1.90405054653535	1.77315992861399
"Vcpip1"	6.58335584181451	6.62236761630003	6.71779739721954	6.64393064790718	6.82350894223262	6.59399660024079	6.90899017809906	7.08666050358816	6.68853397569298	6.72249420418657
"Sgk3"	5.31806762551188	5.34013527128866	5.32264920321892	5.45859701156789	5.11067042625128	5.0148851303343	5.07301100443175	5.20428840907076	5.25026959528626	5.44177307216116
"Mcmdc2"	-0.608781880993656	-0.629587824387002	-0.629348504803453	-0.629488002065852	-0.476036063963752	-0.630482048070038	-0.541755009949694	-0.63109189231552	-0.630265700296462	-0.62849887993705
"Tcf24"	-0.423011787097789	-0.299663134032165	-0.443674034711038	-0.367953937410114	-0.378664062258111	-0.445020554618211	-0.445582963695192	-0.445746160089559	-0.444763338970868	-0.442666619836396
"Ppp1r42"	0	0	0	0	0	0	0	0	0	0
"Cops5"	9.73198699838801	9.22931338505788	9.1431488442359	8.99468815586362	9.27735791740057	9.36754855282435	9.85341248874627	9.48996830292784	9.3470247136574	9.11691140625742
"Cspp1"	4.69530132620105	4.86301418804922	4.84697047027264	5.17527731242979	5.08938109451519	4.89275985783445	4.69722882997101	4.7970354228339	4.89958085767685	5.14153620422541
"Arfgef1"	8.27595174493315	8.03562113159119	7.98674186944848	8.14287513719498	7.96229818830327	7.76448024389865	7.90320476590461	8.08802424855586	8.20953971273109	7.88127822817629
"Cpa6"	2.36440968874683	2.33671768417766	2.30395229747834	2.33892249025508	2.71151243428513	2.34886243457051	2.59366298887796	2.49247257007705	2.25206850405942	2.54613993337586
"Prex2"	0.500947097310978	0.480987741190546	0.523009533777	0.561008808621124	0.478737942497614	0.785290623223479	0.477536455828055	0.477188333554103	0.650069124950844	0.483712286595783
"A830018L16Rik"	-0.457839313377528	-0.404477536920813	-0.478348029384586	-0.403415270098148	-0.352824483008116	-0.479633645784508	-0.480170225805521	-0.480325883956603	-0.479388165979755	-0.477385321440141
"Sulf1"	8.9606990599636	9.14818792797603	9.08047862602464	9.08912140700906	8.93055708565796	9.1474912220045	9.11101931334661	9.38687415415187	8.96787432758668	9.25574937843489
"Slco5a1"	4.3382439529686	4.57064968655173	4.74479345021966	4.67697513202609	4.15303169498588	4.75749153587414	4.48278097115839	5.20600259653063	4.24533708839848	4.52416121923014
"Prdm14"	0	0	0	0	0	0	0	0	0	0
"Ncoa2"	4.95867880341594	5.4634325004779	5.47678286429624	5.56429520797287	5.50149602799408	5.34664947553698	5.33813551729361	5.49378995516836	5.17181614357875	5.43310122346077
"Tram1"	8.17679962203547	8.5227677537814	8.51753699068599	8.70163255906865	9.60303721973932	8.53219214113102	8.42859021090096	8.24332152277479	8.596773474882	8.70765787143403
"Lactb2"	6.24085178307804	6.01015610331832	6.0170637135802	6.19549764786858	6.04388399221439	6.05279858057094	6.34962214005482	6.03420675277333	5.92440499497107	5.83663862371747
"Xkr9"	0	0	0	0	0	0	0	0	0	0
"Eya1"	3.01135457591643	3.26523601105764	3.05497033459496	2.95887927709652	2.89199373550695	3.00089925096766	3.11382278352711	3.017908345405	2.92874760862124	2.72668269528774
"Msc"	-1.88005320190653	-1.88796538411029	-1.88767357993837	-1.88784288882567	-1.88911663312564	-1.88911871406763	-1.87543303024002	-1.8756308683723	-1.88882967843597	-1.88668492101749
"Trpa1"	0	0	0	0	0	0	0	0	0	0
"Kcnb2"	0	0	0	0	0	0	0	0	0	0
"Terf1"	6.0165138816106	5.85215502464694	6.063338401035	5.94269968486709	5.6354666847041	5.77312163762466	6.00081350541679	5.75215895453511	5.90455122349527	5.51689035013794
"Sbspon"	3.35384333161251	3.52908712424269	3.09511101806634	3.25213168248959	3.17333596242107	3.02233575264108	3.17571886837276	3.08891653778687	3.68701349028589	3.0854472091662
"4930444P10Rik"	-1.30297578022844	-1.31878082859848	-1.31819793263716	-1.3185361370774	-1.29251269712356	-1.32108467288479	-1.29483086080755	-1.32152873537569	-1.26320555706138	-1.31622302841181
"Rpl7"	11.6196446506329	11.9882842737591	12.0827063782931	12.2082259832244	11.700092955817	11.9285885149725	11.5393064400747	12.0425127113582	12.1815260616553	12.17222735215
"Rdh10"	6.42057809459452	6.59919458438401	6.47718139417269	6.63754367393816	6.5143045023297	6.88445113584441	6.98129779929527	6.57086044024329	7.24516095842969	7.29940395636852
"Stau2"	6.47103141274098	6.2600936344322	6.23143536325013	6.34727702805895	5.87979264784141	6.10238601576325	6.07302537508572	6.34057823481535	6.58066936095183	6.629451257969
"Ube2w"	7.59002206910003	7.51992827053493	7.34580217737613	7.40190832483011	7.49612171884633	7.64289928896489	7.53300058058399	7.74960710799971	7.60201206980835	7.77781575281343
"Eloc"	9.16729061837251	9.2735422925778	9.13859838453707	9.18165730376947	9.12506108808715	9.37940217375612	9.50520637051229	9.37668359621575	9.40689425921334	9.24713944395279
"Tmem70"	8.21121693625495	8.366954984224	8.33483748194817	8.32527975153365	8.42680442813166	8.59675319205883	9.03585438093971	8.72963937042693	8.65214698053917	8.50566232348592
"Ly96"	4.04963745553673	4.42177299095954	3.87318390379319	4.23247365754591	4.30432110349628	4.28659356344447	3.99065489722985	4.24645072043397	4.06221124357165	4.35329266835533
"Jph1"	2.94146843036867	3.05037392526472	3.37627538550853	3.14242212865079	3.09140096906799	2.86273788996016	3.01688894583293	3.08252341994069	3.10258505425575	3.09602972928522
"Gdap1"	2.35865469100424	2.26103763045467	2.22824449152105	2.51959001106971	2.41902616806554	2.30445485584786	2.26110928308718	2.53159346235314	2.2122153780985	2.32427858611449
"Pi15"	3.56521445924443	3.91671205734842	3.7570951447387	3.92388335974262	3.66562088230668	3.93213537830003	3.77399172987869	3.60590270501089	4.16265158854791	3.8626151685317
"Crispld1"	-0.0435674415180439	-0.0248886183939951	-0.0638320126355516	0.153307267392624	-0.0308655556784902	0.0350354292813426	-0.0664740942557653	-0.0667005250201262	-0.0653382219275246	-0.0624424128595039
"Crisp4"	-1.87863945819698	-1.88889447674111	-1.88851626790855	-1.88873570999599	-1.87179665386408	-1.89038931341138	-1.89124119324391	-1.89149761222707	-1.89001469289757	-1.86864489975619
"Defb41"	0	0	0	0	0	0	0	0	0	0
"Tfap2d"	0	0	0	0	0	0	0	0	0	0
"Tfap2b"	0.197925620425113	0.105379396575319	0.227759486129396	0.105581115958639	0.103567640250512	0.140031867276179	0.231567385118299	0.135586018557901	0.177749049162595	0.107570577588228
"Pkhd1"	0	0	0	0	0	0	0	0	0	0
"Il17a"	0	0	0	0	0	0	0	0	0	0
