"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Angptl2"	1279.91851013129	-1.89292031990983	0.255905951886638	-7.39693745282004	1.39361150401223e-13	1.83803421264173e-09
"Mmp9"	266.435353213833	-5.31270894149492	0.892073355532976	-5.95546196794635	2.59338206185466e-09	1.71020580069006e-05
"Acp5"	61.7943755394842	-3.28727989414701	0.599026432064639	-5.48770424506459	4.07191074284241e-08	0.000179014769291162
"Msr1"	22.7921249049665	-7.28558341663959	1.34956737940873	-5.39845844512894	6.72159318719313e-08	0.000221627731364726
"Spi1"	23.3087727952865	-4.91204739968389	0.921514361718	-5.33040786312462	9.79924393867023e-08	0.000258484456614243
"Arl4c"	827.03219622102	-1.38717668081958	0.271762371702174	-5.10437361924335	3.31891986937122e-07	0.000729553902618951
"Ammecr1"	113.536255792894	-1.39412737059143	0.299284165174979	-4.65820625617242	3.18976541982408e-06	0.00600997373172283
"Atp2b4"	187.56439225993	-1.31325854557926	0.285994853810436	-4.59189572148638	4.39237836784867e-06	0.00662454381005127
"Clec4a2"	8.24637430758431	-6.70883976320772	1.46292986089281	-4.58589296899946	4.52050150052782e-06	0.00662454381005127
"Podnl1"	106.201532562207	-1.40503367373069	0.319414494676942	-4.39877869397175	1.08861765720746e-05	0.01263195981897
"Ccdc25"	543.098384494802	-1.3096618904597	0.297339034928914	-4.40460799495365	1.05975337063609e-05	0.01263195981897
"Lcp1"	21.2095142904044	-3.51158778730519	0.800455521564265	-4.38698677528363	1.14931774833301e-05	0.01263195981897
"Igfbp5"	138.750972454337	-1.41010263061364	0.329145929526493	-4.28412598825757	1.83458937774031e-05	0.0172831423592979
"Tyrobp"	10.5999629520334	-5.93637615386517	1.38138270087956	-4.29741602387617	1.72800692609443e-05	0.0172831423592979
"Laptm5"	71.046881033517	-4.14334729610018	0.973670442598981	-4.25538982680886	2.08685104056885e-05	0.0178704324026884
"Cks1brt"	44.494109872624	-2.59739276880497	0.61160379677021	-4.24685520678815	2.16791961818951e-05	0.0178704324026884
"Lyz2"	110.869153510014	-3.21385337058181	0.78345075632253	-4.10217661371269	4.09281665396088e-05	0.0299889771383833
"Cybb"	6.05422443353129	-6.30917105183677	1.56462853786025	-4.03237631116267	5.5215677670973e-05	0.0367950325209182
"Ly6a"	2039.89379731381	-1.18542768605076	0.300255881632404	-3.94805816827278	7.87876635631031e-05	0.0451795867275551
"Tmsb4x"	5740.07962530301	-1.13808901374411	0.291614666702992	-3.90271527358824	9.51195733859328e-05	0.0464641501254469
"Ctss"	14.9304234401084	-3.85774415893273	0.985464120315027	-3.9146469966857	9.05365671301784e-05	0.0464641501254469
"Vav1"	4.27969784727035	-6.37420857690813	1.62453770312348	-3.92370615015736	8.71970834685928e-05	0.0464641501254469
"Pcyox1l"	399.532508574167	-1.05284949461074	0.269591005605758	-3.90535838628978	9.40858434446811e-05	0.0464641501254469
"Lat2"	22.8046285022775	-2.55813504788464	0.685083239676042	-3.7340499660951	0.000188425086892704	0.085694430035444
"Fcer1g"	10.5730306181096	-3.28261210340651	0.892906023228037	-3.67632429170899	0.000236618698187455	0.0985354450262147
"Gjb5"	78.1806315944965	-1.35963703264103	0.370101217631405	-3.67368970397482	0.0002390730336522	0.0985354450262147
"Clec4d"	9.43229678199289	-4.44652046127062	1.20769910480973	-3.68181150715612	0.000231582606759457	0.0985354450262147
"Fhod1"	838.360175620258	-1.15245521427444	0.317867391359935	-3.6255848998662	0.000288308154605954	0.11522715912418
"Eya2"	152.921305116941	-1.20166392089723	0.333952354544783	-3.59830947302421	0.000320292361030022	0.11734266526736
"Cfb"	501.192429338806	-1.15093083449735	0.323517271464644	-3.55755607509545	0.000374321211170865	0.129919011950856
"Rbm47"	11.6448668749954	-5.26127471643249	1.48867394733867	-3.5342021843253	0.000409008076919316	0.137060624379052
"Rbpms2"	86.8404771466762	-1.24119181247002	0.351620144788064	-3.52992236328819	0.000415681626746689	0.137060624379052
"Slc2a10"	345.801855988995	-1.15014098867683	0.328019161257326	-3.50632257051155	0.000454344237859808	0.146154784222756
"Fbxo2"	44.8277107766857	-1.96250327396654	0.565593575351135	-3.46981182158614	0.000520823121698817	0.158804102603902
"Plp1"	12.2115126204429	-3.18786494380501	0.929903921300798	-3.42816593282633	0.000607673914593382	0.174230679555916
"Lilrb4a"	6.53189776310575	-4.30619460412452	1.26670655834682	-3.39952025648666	0.000675041794378907	0.189428217575817
"Masp1"	414.280638532564	-1.01631523038116	0.300093495068287	-3.38666198062671	0.000707484976575523	0.192510666142376
"Mms22l"	249.724836606528	-1.05051611123758	0.314163854395877	-3.34384779324051	0.000826250554724969	0.192545422692879
"Klra2"	9.49797867909476	-4.88950405551479	1.48675995171451	-3.28869771470256	0.00100652062059731	0.221420322733571
"Cd52"	5.4772347286719	-5.0797393005362	1.59001209268194	-3.19478029375739	0.00139937326054628	0.275798811933857
"Slc37a2"	6.30672403493596	-4.41797144359907	1.38762058102345	-3.18384686997115	0.00145331872110027	0.280488917893365
"Hcls1"	4.38910430451959	-5.70942714165665	1.79482380801741	-3.18105159746203	0.00146741491657004	0.280488917893365
"Flt4"	42.1429538807827	-2.10418550129374	0.669533639317459	-3.14276292889301	0.00167361328536624	0.302373775625963
"Dcstamp"	5.41913742405363	-5.09536423654289	1.62636727979787	-3.13297266849598	0.00173045555022197	0.3057172869974
"Ncor2"	405.654973119655	-1.11673829547952	0.358637896589011	-3.11383238107508	0.00184674371716867	0.312265421612021
"Zfp300"	14.9313984831048	-2.58869131657794	0.868072694653188	-2.98211351713139	0.0028626583316241	0.40597420146011
"Mpdz"	68.2960335446866	-1.01123526048203	0.342947031078334	-2.94866311366623	0.00319151669326479	0.4239241965457
