"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Thbs4"	3632.37468244597	-1.71274173735495	0.212893042721714	-8.04508083241494	8.61885149878062e-16	4.1525626521125e-12
"Hspa8"	1711.3981326337	-2.33865883836497	0.29830194591573	-7.83990473540405	4.50888369150521e-15	1.44825344171147e-11
"Igfbp2"	983.24041922053	-2.20744895011859	0.284556577338467	-7.75750457348566	8.66167559475116e-15	2.08659765077556e-11
"Bmp4"	178.515057134191	-3.19135881667812	0.471413891532554	-6.76975980979919	1.28996369582893e-11	2.48601803460151e-08
"Ammecr1"	113.536255792894	-2.04785976219595	0.311823271023527	-6.56737310039132	5.12106209101914e-11	8.22442571817673e-08
"Nnmt"	211.438446700336	-2.1110713497574	0.342645458047174	-6.16109538351667	7.22434575740676e-10	9.94482795976736e-07
"Prg4"	1318.08074570701	-1.32331791387403	0.222319935868448	-5.95231331236563	2.64378629994703e-09	3.18444059828619e-06
"Aldh2"	237.644730136018	-1.73183284287497	0.298641561656327	-5.7990349141957	6.66976462870038e-09	7.14109466246187e-06
"Pdlim2"	1601.71577998009	-1.30012440850254	0.237589630355342	-5.4721428984845	4.44626072959624e-08	3.57034736586578e-05
"Akr1e1"	46.1417049861389	-3.03953926629255	0.562199723503963	-5.40651149265662	6.42641056294476e-08	4.42320658460969e-05
"Ogn"	250.413900952614	-1.49717001971046	0.281342564447257	-5.32151977306348	1.02903923551216e-07	5.28077815017266e-05
"Atf4"	3051.22376274105	-1.3405988050949	0.252021914903795	-5.31937393463047	1.04124932392363e-07	5.28077815017266e-05
"Cfb"	501.192429338806	-1.61416880220181	0.302363736858727	-5.33849997678787	9.37187188398697e-08	5.28077815017266e-05
"Phldb2"	968.291362774323	-1.18107702478581	0.22837239668378	-5.17171532959479	2.31954770819756e-07	0.000101596189619053
"Prdx3"	206.343858637925	-1.76936818039595	0.341741853397791	-5.1774992228897	2.24879880510255e-07	0.000101596189619053
"Agtr1a"	28.7400353440411	-3.33095474896769	0.651435464646958	-5.11325362178874	3.16656685299681e-07	0.00011947130275762
"Dync1h1"	1025.51870441277	-1.368189874495	0.26783903913086	-5.10825411760282	3.25149169433728e-07	0.00011947130275762
"Cdkn1b"	111.840139087812	-1.84776536982044	0.364407053619603	-5.07060813303926	3.96546528180738e-07	0.00013176283950171
"Adm"	6617.13794007612	-1.32863770872889	0.263693220687457	-5.0385736321362	4.69013984970345e-07	0.000145787701908847
"Cacng7"	95.0663296073131	-1.80647800494927	0.36388449321959	-4.9644270053001	6.89041948201973e-07	0.000207487756652319
"Gadd45a"	79.25093364583	-2.16451865412355	0.438521075342207	-4.93595125943361	7.97610267821439e-07	0.00023290219820386
"Ndnf"	145.420119708843	-1.71361022723662	0.356077666342408	-4.81246196886944	1.49082249031563e-06	0.000378041197807406
"Ccdc25"	543.098384494802	-1.4148883573273	0.295913719704466	-4.78142195887496	1.74059574880981e-06	0.000420868543674675
"Rasa3"	782.575699991307	-1.10922786416059	0.234261465200196	-4.73499925910844	2.19055899252572e-06	0.000502576820285186
"Tnn"	504.844412644102	-1.33388461714222	0.282268435647528	-4.72558900920772	2.29449301368924e-06	0.000514179876276966
"Cdkn2a"	290.400741484519	-1.63845283744636	0.348180009610609	-4.70576366310847	2.52917387413562e-06	0.000553889078435701
"Rbm45"	138.904366314876	-1.86171291981883	0.39689888386479	-4.69064790933766	2.72341270865984e-06	0.000570495757840136
"Tmem176b"	294.861073088772	-1.25041007509636	0.268521174531397	-4.65665352938546	3.2139063146599e-06	0.000658919175490699
"Rspo2"	323.723575254065	-1.32462806674885	0.289908030358835	-4.56913202821352	4.89748206938056e-06	0.000893155351236173
"Ddah2"	505.724936088353	-1.31889567011451	0.289770181767277	-4.55152307967201	5.32589540589731e-06	0.000950376446874565
"Angpt4"	105.987436268151	-1.89037072625686	0.415924612154442	-4.54498404522146	5.49394154210983e-06	0.000962538558177642
"Cbr2"	181.590166944577	-1.32628911992711	0.293530497552754	-4.51840313352363	6.23077670824248e-06	0.0010533291993092
"H2-K1"	628.674944221415	-1.23308238434415	0.273312542895501	-4.51162018135264	6.43343143230139e-06	0.00106883698761476
"Cfl1"	1336.1526145184	-1.28928015219238	0.286683558237597	-4.49722390819447	6.88464743280907e-06	0.00112441462139912
"Tmem263"	556.714545902879	-1.07489169647084	0.241671117581293	-4.44774579283049	8.67761374490234e-06	0.00130652321946686
"Psmb10"	133.092538734519	-1.49988132015224	0.338067113607221	-4.43663775558736	9.1374868329627e-06	0.00135459727880659
"Mmp23"	174.576120554158	-1.20016335183825	0.271697519216219	-4.4172775493145	9.9951850786473e-06	0.00139584932489631
"Casp12"	77.7688928071162	-1.81957689929437	0.411497129451417	-4.42184591110057	9.78612387562293e-06	0.00139584932489631
"Nupr1"	546.400493429133	-1.15470409170947	0.262124790360267	-4.40516934747924	1.05701269062707e-05	0.00145505346955463
"Pth1r"	292.962602936475	-1.47295085895266	0.340444199936426	-4.32655589147271	1.51458901399369e-05	0.00194594396517909
"S100a13"	340.222184959277	-1.38284935577259	0.319875470354466	-4.32308658816573	1.53861311200664e-05	0.00195079946674947
"Mmp13"	1302.26869040015	-1.34480132551667	0.312296143300611	-4.30617333696044	1.66102917807224e-05	0.00205200989229539
"Arpc3"	310.432603298575	-1.0937866964665	0.255361620365281	-4.28328538525837	1.84153722336372e-05	0.0022181315855416
"Reep5"	598.103492669813	-1.17373521926921	0.275878052284629	-4.25454366358308	2.09475782058681e-05	0.00246159589746031
"Pknox2"	20.3803968222428	-3.45898947823649	0.815134820802596	-4.24345689812479	2.20102663353222e-05	0.00250766531116597
"Rcan2"	223.440071677886	-1.43721018034808	0.340362996288363	-4.22258058608242	2.41521002068139e-05	0.00270615857666115
"Igsf10"	166.314984445937	-1.12401814322275	0.266684412954186	-4.21478754896651	2.50013426737632e-05	0.00273764702277707
"Col14a1"	143.076242009769	-1.24498698218464	0.300187490524486	-4.14736463537974	3.3632419529684e-05	0.00346971524211757
"Ggps1"	78.3300565445054	-1.31707225273026	0.318159209281356	-4.13966408737689	3.4781474384509e-05	0.00352793986493819
"Slc16a2"	346.004091788479	-1.03115293694236	0.249546888681286	-4.13210095461985	3.59462467667491e-05	0.00357090756540613
"Actr3b"	230.996096401776	-1.51745792318167	0.368133596663202	-4.12203052624388	3.75547420010337e-05	0.00364548889477147
"Rps24"	8975.44387530621	-1.27944864042971	0.310680808919962	-4.11820944099358	3.81827601487058e-05	0.00364548889477147
"Hoxd13"	210.606303254919	-1.143320906963	0.278542560558541	-4.10465425703843	4.0492000945073e-05	0.00373809476315669
"Hps6"	43.5808910625178	-1.86355263233645	0.453774747827536	-4.10677906000339	4.01214664205711e-05	0.00373809476315669
"Col8a2"	134.132203822534	-1.61419765524234	0.394067486461309	-4.096246736156	4.19902393364104e-05	0.00378147613313692
"Furin"	467.70308646301	-1.06546858051127	0.260089291373738	-4.09654920771127	4.19354380836019e-05	0.00378147613313692
"Pygl"	155.133645994362	-1.14167426313786	0.279734065804997	-4.08128434358695	4.47875223938978e-05	0.00388804113322162
"Aspn"	413.633498604318	-1.24137533236945	0.304700845638576	-4.07407905208742	4.6196788959998e-05	0.00393940051697824
"Il11ra1"	1646.90062979578	-1.13140708324025	0.280945149275106	-4.02714581888852	5.64580212458231e-05	0.00461041942987077
"Mapk1ip1"	33.710699092272	-2.68064343479816	0.668409535301287	-4.01048054108003	6.05952945125065e-05	0.00490669124304633
"Rbpms2"	86.8404771466762	-1.29406547806814	0.324377886920104	-3.98937637320165	6.62472352505662e-05	0.00524388598610449
"Tmem127"	272.212103461522	-1.05490900968629	0.265910239175015	-3.96716205046914	7.27335403455872e-05	0.00543302631604712
"Tmem5"	87.7438805618917	-1.34169022750452	0.341526926307741	-3.92850497033889	8.54755844834196e-05	0.00619280249685888
"Npr2"	105.870082483024	-1.36053623937598	0.346569503074723	-3.9257240677713	8.64692346198261e-05	0.00621804137907944
"Cilp"	954.657487219049	-1.06260387263036	0.271009803778955	-3.92090565659777	8.82167977787804e-05	0.00627477706255433
"Irf1"	319.492761393381	-1.04875756437676	0.267542350400143	-3.9199684192361	8.85605729044613e-05	0.00627477706255433
