"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Hspa8"	1711.3981326337	-3.28620312482465	0.326103227414302	-10.0771867573382	6.96929653932108e-24	1.67332809909099e-20
"Thbs4"	3632.37468244597	-2.29960886458185	0.233221259671323	-9.86020257253852	6.19243312760851e-23	1.23900266161567e-19
"Igfbp2"	983.24041922053	-2.66919340870986	0.311434392189995	-8.57064433359523	1.02907616503099e-17	1.37267326235522e-14
"Nnmt"	211.438446700336	-3.14617421208693	0.37059101674287	-8.4896127265542	2.0732682651035e-17	2.48895855225676e-14
"Mest"	359.510616559185	-3.55972252974989	0.421123523005569	-8.45291781457388	2.84111671896306e-17	3.10069147374105e-14
"Cilp"	954.657487219049	-2.38646953471005	0.295939316812288	-8.06405029387756	7.38073711935691e-16	6.81582685522152e-13
"Sned1"	879.028397675825	-2.45281558447206	0.308557655390493	-7.94929421332268	1.87577090302025e-15	1.50124197938388e-12
"Fxyd6"	74.047812886151	-4.8180990185269	0.616730853097588	-7.81232038956305	5.61446202509202e-15	3.96480097713116e-12
"Tmem26"	213.73149426454	-2.40639353318586	0.325725544332324	-7.38779495516238	1.49283712470985e-13	8.53405222959131e-11
"Gpx3"	915.180669139808	-2.70778476230537	0.370130520203942	-7.31575650884822	2.55935378196021e-13	1.39659282511056e-10
"Fbln7"	100.488607104838	-3.36349181829083	0.486161972770092	-6.9184592927457	4.56581946873166e-12	2.10817933546629e-09
"Gas6"	9310.07089322053	-1.43844794170207	0.208373202559937	-6.90322903343729	5.08335714222142e-12	2.17948937472743e-09
"Bmp4"	178.515057134191	-3.53148421327295	0.511556507727974	-6.90340980893329	5.0768894397526e-12	2.17948937472743e-09
"Aspn"	413.633498604318	-2.24583347930519	0.333099618183693	-6.74222772019716	1.55976359774545e-11	6.24165399697805e-09
"Pth1r"	292.962602936475	-2.46376422716947	0.371763663412789	-6.62723248569298	3.42038720752556e-11	1.32457252988207e-08
"Ogn"	250.413900952614	-2.03418026597649	0.309056203746226	-6.58191047880342	4.64441217716953e-11	1.74238025584126e-08
"Aspg"	93.1755993504724	-3.15250720706412	0.499833308856291	-6.30711709525247	2.8428075962377e-10	8.98102768232463e-08
"Itga1"	353.111889938549	-1.64279915859789	0.262601772145184	-6.25585709181598	3.95338640020296e-10	1.21693342908812e-07
"Auts2"	250.882862989064	-1.63985982910483	0.262737755846227	-6.24143197015273	4.33583008871771e-10	1.27980308706824e-07
"Steap3"	113.458805159251	-2.54708272807144	0.410220749984148	-6.20905385251687	5.33045552612888e-10	1.48818880444598e-07
"Col8a2"	134.132203822534	-2.65900798505212	0.428206570084796	-6.20963845679802	5.31066407318921e-10	1.48818880444598e-07
"Olfml3"	402.638749273466	-2.37556200812628	0.38283393330624	-6.20520231216284	5.46265823506387e-10	1.49043663890777e-07
"Ammecr1"	113.536255792894	-2.09280149188597	0.344570306347967	-6.07365595157391	1.25030457385692e-09	3.26302313242442e-07
"Cdkn1b"	111.840139087812	-2.38757338986055	0.398580521704152	-5.99019083936252	2.09594946928423e-09	5.24205695390775e-07
"Scg2"	79.0988946249125	-3.48395949125424	0.58292301522028	-5.97670601483746	2.27694558180378e-09	5.57851667541925e-07
"Eln"	426.920860797888	-2.44309373371349	0.41688694449008	-5.86032680083514	4.61957135644873e-09	1.08741086537582e-06
"Nsg1"	728.307645164257	-1.4834488200974	0.256922406486908	-5.77391766012821	7.74492949882321e-09	1.75429959685609e-06
"Nrxn2"	46.4929194001355	-3.94146228729801	0.684486401286915	-5.75827697948067	8.49768408721805e-09	1.88553488477755e-06
"Ibsp"	54.5310548346827	-8.89648414706114	1.55029803803621	-5.73856376566822	9.54828130337031e-09	2.04691280441001e-06
"Rai2"	45.1066161996803	-2.99135958098434	0.527797148245433	-5.66763119302288	1.44785189164877e-08	2.99680378607647e-06
"Scn7a"	43.3400488173947	-6.44090678830941	1.1373439683647	-5.66311245099431	1.48651672739045e-08	3.02468361225803e-06
"Cyp26b1"	3620.25137835385	-1.67160200332148	0.296255384244303	-5.64243585845859	1.676610055985e-08	3.29962356099999e-06
"S100b"	32.6995391721686	-4.76374282753255	0.846113727806427	-5.63014482684578	1.80058363839558e-08	3.43111215538713e-06
"Plekhg4"	96.6374804112451	-2.15651661218443	0.392020777864889	-5.50102630766086	3.77586859661418e-08	6.86807613672019e-06
"Npy"	38.4425731003975	-3.23682556283905	0.589983372147326	-5.4862996410529	4.10440463192215e-08	7.35423546361573e-06
"Pgam2"	43.6068188062465	-2.87530517050985	0.551085556418439	-5.21752954150487	1.81325310993193e-07	2.98193199790861e-05
"Nov"	132.378769373536	-1.95015091737878	0.374907382078603	-5.20168716488467	1.97487449287883e-07	3.2038335522987e-05
"Col14a1"	143.076242009769	-1.71935927270402	0.331544559389939	-5.18590706440107	2.14965994574051e-07	3.4408890198153e-05
"Ephb3"	1494.33631652904	-1.459062204419	0.281585215000556	-5.18160090335753	2.19989526762199e-07	3.47496614313184e-05
"Ank3"	170.841189403666	-1.59146010277507	0.307666993770073	-5.17267089093218	2.30771274456863e-07	3.51401064509794e-05
"Lum"	540.356211546578	-1.59444186993558	0.308075690890182	-5.17548744377868	2.27316718762721e-07	3.51401064509794e-05
"Cdsn"	460.393229672656	-2.11855588212084	0.411518711271186	-5.14813986362028	2.6308230411795e-07	3.94787882616999e-05
"Comp"	3801.57611943209	-3.85457037488506	0.758796663469751	-5.07984623609079	3.77740483932326e-07	5.33502883483244e-05
