"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tmem26"	213.73149426454	-2.77083724398771	0.293707186800118	-9.43401240594565	3.94694782042553e-21	6.43465264667087e-18
"Fxyd6"	74.047812886151	-4.14001713253266	0.458818280248592	-9.02321749318609	1.82644477897843e-19	2.60542347721274e-16
"Mest"	359.510616559185	-3.19352571594581	0.372821542908776	-8.56582935371634	1.07300696824555e-17	1.36057283573536e-14
"Steap3"	113.458805159251	-2.85008926434726	0.367345567266136	-7.75860529788948	8.58684338906365e-15	6.12456604724965e-12
"Aspg"	93.1755993504724	-3.39311677525591	0.443089747509094	-7.65785440609019	1.89065044674987e-14	1.26918252342997e-11
"Scg2"	79.0988946249125	-3.71324358789559	0.500317464896695	-7.42177486980651	1.15561124928388e-13	6.94096609306716e-11
"Sox9"	795.640717689304	-1.96523376220382	0.268719507479884	-7.31332749391457	2.60606812347936e-13	1.41621187738793e-10
"Eln"	426.920860797888	-2.71085704692901	0.377822526749171	-7.17494817011981	7.23345844401181e-13	3.75219217104831e-10
"Fbln7"	100.488607104838	-2.91524233912195	0.414053759258958	-7.04073389972218	1.91229903802641e-12	9.48832896606844e-10
"Arsi"	115.511487683721	-2.49896830302055	0.356271375339985	-7.0142270078134	2.31223715796257e-12	1.06015847832304e-09
"Nrxn2"	46.4929194001355	-4.1528274578911	0.598671354798006	-6.9367398734023	4.01251671673418e-12	1.76118618351425e-09
"Il1rn"	13836.3370693044	-1.74666058392331	0.255325974282325	-6.84090441183221	7.86947556862703e-12	3.30361405709078e-09
"Crispld2"	1095.18783668592	-1.61630499220912	0.242765849294703	-6.65787629069286	2.77812449641114e-11	9.90748648532623e-09
"Cyp26b1"	3620.25137835385	-1.72141428041102	0.270234878379785	-6.37006699776097	1.88945644810406e-10	5.82769648263878e-08
"Ppp1r3c"	344.219639865465	-1.90927757881181	0.299952366333983	-6.36526926640718	1.94947429449078e-10	5.85457911808653e-08
"Scn7a"	43.3400488173947	-3.17068606511177	0.509062310255556	-6.22848323522525	4.70972475000842e-10	1.31091167919747e-07
"Dnmt1"	559.839426276206	-1.53158442576588	0.246066469104775	-6.22427115461119	4.83799735719531e-10	1.31455299619793e-07
"Acan"	35.1968278938153	-3.62582283651308	0.615067923187672	-5.89499582049698	3.74690865196127e-09	8.55194430723639e-07
"Igfbp4"	26994.9139729096	-1.25082766964003	0.214342562627024	-5.83564763950588	5.35820258128803e-09	1.13236681217887e-06
