"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Jup"	139.673433860231	1.61975969065531	0.391737042971306	4.13481369637529	3.55242704259668e-05	0.0275605648616515
"Scg2"	79.0988946249125	1.58542845834654	0.393414666049047	4.02991701928287	5.57965463961152e-05	0.0367950325209182
"Mmp11"	84.6690135829413	1.87130405330251	0.470220823564814	3.97962820769161	6.90231287865459e-05	0.0433498116936073
"Ntrk3"	35.9131232330441	2.11154964239969	0.558755710698982	3.77902113923494	0.000157446059318104	0.0741627170123741
"B4galnt1"	45.6148519486688	1.74344387172568	0.483305030304028	3.60733649022636	0.000309356363472666	0.116574316509743
"Mafb"	101.448259010083	1.22886193395973	0.352418412838384	3.48694020855054	0.000488580575496658	0.153425933576796
"Trib3"	349.796152180057	1.05720578234485	0.313367502001327	3.37369310982469	0.000741670039794431	0.192510666142376
"Bcr"	67.1112764486738	1.47267538202206	0.436357476664455	3.37492872421778	0.000738348110139884	0.192510666142376
"Eln"	426.920860797888	1.2338133112431	0.367993129030162	3.35281616397237	0.000799938198370113	0.192545422692879
"Pik3ip1"	118.629648078092	1.06910027367693	0.319910130915064	3.34187689092215	0.000832139593107446	0.192545422692879
"Txnip"	269.574581695	1.1446341909933	0.349395572143292	3.27604091824001	0.00105273307509394	0.22644890279794
"Spp1"	1336.79890579148	1.04016057298006	0.320617084263754	3.24424562517816	0.00117762148726218	0.246534123738109
"Hoxd9"	14.2325365402348	3.55991416545721	1.10541971476144	3.22041855950206	0.00128003556440134	0.259729062444451
"Fam69b"	28.1562251369966	1.72817179713576	0.540994759030999	3.19443352876684	0.00140105545527094	0.275798811933857
"Nrip2"	11.3834098138923	5.28391380317974	1.70237997777336	3.10383925572883	0.00191027086237801	0.314932030048794
"Crabp1"	31.8001593544569	2.73654234465308	0.886222674561469	3.08787218292198	0.00201595157969287	0.324248602250845
"Cdo1"	117.692923842343	1.10867368397557	0.361880292295929	3.06364758617181	0.00218656321833404	0.339277438665973
"Hgf"	33.0162403817933	1.6445808297248	0.54019776769113	3.04440508289016	0.00233140985583613	0.34942005214344
"Arl6"	27.3669676530027	1.80151543054617	0.597870426085946	3.01322051057129	0.00258491018001191	0.381079437276291
"Trnp1"	21.8522939061657	1.95953695811491	0.656619454343117	2.98428099434738	0.00284245603166506	0.40597420146011
"Lsm14b"	62.5529101926725	1.37823429826913	0.466979370672722	2.9513815487902	0.00316355859738755	0.4239241965457
"Apod"	23.5279380293323	1.80500577346046	0.613474116634394	2.94226883338286	0.00325816942201687	0.425465311950302
"Nfasc"	15.5915615252242	2.9934251597458	1.04038160569828	2.8772376821644	0.00401173299287992	0.458765003090246
"Mgst1"	190.604843076048	1.03981972986626	0.360233671560157	2.88651453753015	0.00389534751197454	0.458765003090246
"Tram1"	420.846317926635	1.0400781904479	0.363830663925724	2.85868755323007	0.00425397553570685	0.468952468462065
"Slc37a4"	29.227335524034	1.71388145700429	0.606995966571232	2.82354669782334	0.00474955064036055	0.49324270390327
"Gjb2"	18.090471148738	4.49321459082816	1.59632238042812	2.81472880786344	0.00488184113319052	0.499120951206587
"Mfap3l"	16.4510320615543	2.76388174813358	0.986271216331764	2.80235466914798	0.0050731067697311	0.514686193738335
"Rpia"	51.3607423704877	1.14631063455444	0.409627510359447	2.79842199452999	0.00513529717238975	0.517018583256859
"Per3"	91.5187195495688	1.10133218174087	0.396594842733941	2.77697050760618	0.00548681573455566	0.536041575726331
"Carns1"	37.9174874127843	1.67628944548408	0.604821336321262	2.7715448262455	0.00557909900073145	0.541049534710641
"Ifih1"	6.28833099709019	4.70207952320934	1.71265277454412	2.74549493808572	0.0060419699546752	0.57329166713821
"9930021J03Rik"	56.6741699662844	1.26162777450269	0.460388951526641	2.74035197916709	0.00613734196522135	0.574080873612088
"Phactr1"	47.4897516212353	1.25896285959011	0.462784567146481	2.72040804504966	0.00652014034994031	0.587821629442576
"Gdpd1"	13.185870955305	4.12681284486677	1.53254572831074	2.69278284401705	0.0070858404278221	0.595255728678635
"Trappc1"	76.2653645970177	1.01732812413881	0.378227766049217	2.68972353554401	0.00715112354081861	0.59541685162411
"Mef2c"	19.5415354352632	1.65277843351672	0.614765647281867	2.68846907894794	0.00717804832877651	0.59541685162411
"Bhlhe41"	36.8687042040422	1.41610017277518	0.529681254074989	2.67349497812262	0.00750654000953191	0.611134297442694
"Cd38"	5.10386940729584	4.63504916017121	1.73751048101704	2.66763810107097	0.00763864888603568	0.61807447949647
"Adamts16"	45.5690084953684	1.384895787719	0.523549501089844	2.64520505670646	0.00816414257496933	0.648655882055846
"Dgat2"	51.9859013551597	1.32969720551696	0.504431328649362	2.63603216135937	0.00838817807576822	0.656405443832821
"Dclk2"	11.7634270522705	2.34882681836393	0.895427918192396	2.62313333172091	0.00871251692504061	0.661144549219137
"Coq6"	33.7054710128899	1.62377236772006	0.620031034289906	2.61885660220168	0.00882250255028131	0.661144549219137
"Fam172a"	93.4410999060303	1.01372282963009	0.388859921991456	2.60691002672258	0.00913633637876844	0.676866405739155
"Rtl3"	12.0505487314634	2.3906986816435	0.9205320379749	2.59708362449052	0.00940190314165079	0.681328024918858
"Ift46"	64.2018006889524	1.01830377180403	0.392795765903107	2.59245098903439	0.00952947582705385	0.683113579552323
"Maob"	70.1491164670125	1.11219001070506	0.433392445266192	2.56624226576433	0.0102806995453283	0.713563787846102
"Adgrg6"	11.5202418309506	2.69585932336486	1.05485741821643	2.55566228839066	0.0105985925477726	0.728046026627985
"Otub2"	24.2264433936989	1.74079413703467	0.682776416351622	2.54958152529127	0.010785229131336	0.728538287290517
"Tpk1"	7.25968624579746	3.85792869671997	1.51564042859619	2.54541157911264	0.0109149002892128	0.730744263525015
"Tcea2"	13.4684928773902	2.76016930593986	1.08604045038715	2.5414976992394	0.0110378672666616	0.73158251568051
"Penk"	672.082205651623	1.87169825575452	0.73959881713803	2.53069395513272	0.0113837127415936	0.73158251568051
"Gdf9"	6.56326915047053	4.45026977285055	1.76413683615708	2.52263298494737	0.0116479898689953	0.733201504037195
"Phkg2"	19.4845126476385	1.8008725719045	0.720260451739173	2.5003074478906	0.0124085567147575	0.748287833147982
"Sema3f"	25.1785146328424	1.60073686569241	0.639529898212146	2.50298988392472	0.0123149063963728	0.748287833147982
"Nipal2"	6.15313742920211	3.84450435973047	1.5371139704543	2.50111861165	0.0123801707189183	0.748287833147982
"1700088E04Rik"	4.01224757612188	4.51652090308183	1.80902932687405	2.49665433057751	0.0125371101075217	0.748755515020775
"Ccdc3"	6.16804181213992	4.09567926942439	1.64663358230379	2.48730459128263	0.0128715143426901	0.754499567403288
"Faah"	10.0370468141054	2.31677112995586	0.932061262220314	2.48564254718296	0.012931778489569	0.754677993358077
"Gpr137c"	4.69185562452972	4.45769698623805	1.79847909667132	2.47859260332161	0.0131901866725287	0.766367277638685
"Nebl"	5.08952096529702	4.24349957452584	1.72938341917132	2.45376446164797	0.0141369545291759	0.793414013980002
"Zfp942"	9.45045882993795	2.68869834999447	1.1019733619715	2.43989414152827	0.0146915663239105	0.807362784358565
"Syt11"	59.7304065138697	1.08739246070561	0.447076627348901	2.43222837917896	0.0150062420733749	0.811136584859598
"Tsfm"	107.147193621292	1.10689991490981	0.455039063841486	2.43253822114798	0.0149934089858609	0.811136584859598
"Tmem68"	38.0079320148414	1.17451718067716	0.48598608112223	2.41677123337563	0.0156588550320935	0.829416220956951
"Kctd21"	8.37239544547501	3.17624776155896	1.3157564522058	2.41400888153285	0.0157780777511176	0.83053004941178
"Pcp4l1"	19.4311064436894	1.50990975361276	0.628353305739592	2.40296301431174	0.0162628321664607	0.841139189974313
"Aldh1l1"	18.8486104340232	1.62332806516637	0.67711007145548	2.39743600575449	0.0165102646777888	0.841423513026026
"Fam53b"	14.1740343325797	2.13479653114994	0.890563990573817	2.39712873386496	0.0165241171023383	0.841423513026026
"Reck"	58.6564295731086	1.06504933732437	0.445526372378709	2.39054162301991	0.0168235420772826	0.846786613056113
"Trim66"	7.90420668748945	2.79237820310721	1.17096196197939	2.38468737138735	0.0170936407420768	0.853969802072918
"Fam241b"	13.6589975929757	2.06223075792364	0.866689995951486	2.37943297783153	0.0173392958519953	0.856509262142196
"Zcchc3"	37.2140661847478	1.143072185919	0.484076004877689	2.36134857832463	0.0182086062959164	0.864095208793945
"Fndc5"	5.43773560984673	3.38655334982892	1.43622897563117	2.3579480760306	0.0183762631185002	0.864095208793945
"Rasip1"	8.71793139375431	2.56868896659357	1.08590420091987	2.36548395744083	0.018006523402788	0.864095208793945
"C4b"	64.1083470089574	1.05058296614769	0.447229007838368	2.34909397139861	0.0188191566031239	0.864828768078748
"Armcx6"	5.91382564145337	3.71446065569629	1.59641017900562	2.32675831346176	0.0199781322625808	0.870883280617249
"Tjp1"	44.0773169291283	1.12999418651921	0.484155440273391	2.33394916698887	0.0195983838088415	0.870883280617249
"Ormdl2"	53.5958695171142	1.15984730667457	0.495829268237305	2.33920702341327	0.0193247217767428	0.870883280617249
"Angptl6"	19.0475873290982	1.91910921773204	0.825073491988397	2.32598578958955	0.0200193087832335	0.870883280617249
"Gramd1b"	79.8239199109734	1.08995563358644	0.46927336607197	2.32264541819166	0.020198208687905	0.870883280617249
"Rnf213"	26.1504506258576	1.67317201537008	0.722175023187423	2.31685112562505	0.0205118429151686	0.870883280617249
"Serpinb9"	20.428746884825	1.98985111471251	0.85473175728187	2.32804163149434	0.0199098931532989	0.870883280617249
"Bambi"	43.2875609028528	1.12635944039861	0.48601920403455	2.31752044167896	0.0204753984307874	0.870883280617249
"Ncstn"	57.3819096833246	1.08551678638268	0.471912300993798	2.30025109346948	0.0214339986820478	0.881301147642205
"Cyp4v3"	43.8665997661023	1.08596099918991	0.472064925144549	2.30044839458763	0.0214228297582357	0.881301147642205
"Fbxo36"	2.67750474148115	4.50320963258694	1.96722940625665	2.28911260591406	0.0220728105784174	0.881931074411904
"Fbxo34"	41.5891844651948	1.10190019705705	0.481472142733217	2.28860633722606	0.0221022353645423	0.881931074411904
"Zic2"	5.03703146758881	4.18650181601272	1.83422762986305	2.2824330785625	0.0224637842674637	0.881931074411904
"Tmem8"	29.4548178021646	1.22660526483659	0.536752920021949	2.28523258855571	0.0222991932859103	0.881931074411904
"Zfp935"	19.6964588984697	1.58626203519291	0.701887930154382	2.25999332235846	0.0238216652804605	0.888177486967197
"Dars2"	18.1005539476139	1.49974780827977	0.667851863467796	2.2456294431708	0.0247277529447319	0.909721210594753
"Ppox"	18.8449335773165	1.89007661602169	0.844957210750247	2.23689033240331	0.0252935085704224	0.909721210594753
"Sesn2"	65.4524455025326	1.05059009796055	0.470729879298056	2.23183219116485	0.0256260558784902	0.909721210594753
"Irgm2"	68.4859154390239	1.29794964875229	0.582449269294625	2.22843381763388	0.0258516000841436	0.909721210594753
"Mpst"	15.9878741097142	1.54169527080583	0.693702492893775	2.22241564157375	0.0262552292341522	0.913668122346261
"Dusp23"	12.305339667953	2.11338657996612	0.953310186175119	2.216892896577	0.0266304112930017	0.915028375987969
"Cend1"	18.8404198779904	1.75168951008684	0.790211523541956	2.21673496007153	0.0266412083083918	0.915028375987969
"Tmem38b"	21.5570695054014	1.47901648079679	0.66882891277314	2.21135248873198	0.0270114372055136	0.918180013668862
"Egfl6"	29.96013882698	1.40588352691444	0.639339595607377	2.19896207989252	0.0278806187394304	0.920367759430738
"Car9"	31.9978235331809	1.70541788129689	0.773795114075924	2.20396568842841	0.0275267572083395	0.920367759430738
"Gpn2"	62.2381340593301	1.03121968387014	0.468267205547765	2.20220351041634	0.0276509362116406	0.920367759430738
"Plac8"	19.5023363325449	2.48149705789662	1.12434789648418	2.20705447633799	0.0273102536782836	0.920367759430738
"Eral1"	16.976711897011	1.73595084414004	0.787435805320656	2.2045617336808	0.0274848634838774	0.920367759430738
"Immp2l"	11.7982304550819	2.13085065742091	0.969652508705223	2.19754049857122	0.0279818674268644	0.920367759430738
"Ypel1"	11.6277414913692	1.90914750412599	0.870165706446191	2.19400453268041	0.0282350836967909	0.920367759430738
"Atp11c"	270.632038339279	1.54298981705202	0.705308752557232	2.18767995074159	0.0286929234921445	0.927526882200719
"Itch"	43.3003716659558	1.09009282918992	0.500334227857288	2.17872927434588	0.0293517856955469	0.930989813841463
"Tpd52l1"	7.64601556834122	3.46891959218622	1.6058836694042	2.16013130856061	0.0307625059261541	0.930989813841463
"Kcnma1"	5.74184581341588	3.22972676016606	1.49524062321372	2.16000469090013	0.0307723064296973	0.930989813841463
"Cck"	13.2417074881245	2.79877253308674	1.29377880741224	2.16325427271817	0.0305216280277054	0.930989813841463
"Rrm2b"	23.7826810379636	1.35238989720095	0.625864585522854	2.16083467332018	0.0307081126272404	0.930989813841463
"Macrod1"	15.9630387410761	1.67395991351194	0.772770136324968	2.16618090532422	0.0302973656708213	0.930989813841463
"Lyplal1"	26.4487115286794	1.30502681173397	0.606072438639966	2.15325219979062	0.0312988632397753	0.931839310020804
"Atp8b4"	27.7132956008035	2.45283058302449	1.13932064348237	2.15288873861473	0.0313274237479231	0.931839310020804
"Asb16"	3.52812206090658	4.20808228159276	1.95199358000763	2.15578694760682	0.031100305139105	0.931839310020804
"2700081O15Rik"	35.6338148118908	1.02538628942298	0.479331836126782	2.13919921887219	0.0324195374326115	0.941808985019193
"Entpd3"	2.87406018022965	4.51334567490789	2.12303270803765	2.12589549742719	0.0335119618873913	0.956686721499577
"Nhlrc1"	17.9750244526237	1.62530115226787	0.764869012271274	2.12494051424772	0.0335915768190132	0.956888351330379
"Oxtr"	18.1905224532062	1.38441157027858	0.652923212876395	2.1203283065702	0.0339783681087682	0.960097731871862
"Asb7"	39.4426453169422	1.17948068064528	0.556890248629476	2.11797689679074	0.0341770243520623	0.960097731871862
"Slc38a7"	22.386362736253	1.46442547060124	0.691197968798915	2.11867733515761	0.0341177450497878	0.960097731871862
