"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Il11"	156.236455647257	3.50103371634211	0.411651559734346	8.50484744574137	1.81834537216441e-17	1.75215760061763e-13
"Emb"	728.740501958078	1.37811461391718	0.242315641319176	5.68727056336384	1.29085856638464e-08	1.24387131456824e-05
"Depdc1a"	26.1243008800695	3.15911259122368	0.558442556553561	5.65700545946965	1.54036865497191e-08	1.34936294175539e-05
"Etv5"	169.453335429226	1.48651141898164	0.274630095382048	5.41277683683466	6.20548095187239e-08	4.42320658460969e-05
"Sfrp1"	1664.52905684757	1.15254353962788	0.214639583919284	5.36966909170537	7.88812461584434e-08	5.0673312532184e-05
"Map2k3"	1610.90493063984	1.45400868436552	0.273337291017433	5.31946694486258	1.04071718908641e-07	5.28077815017266e-05
"Ccne1"	174.866910068801	1.4869298001666	0.286345621316413	5.19277994659306	2.07177007825328e-07	9.98178823702429e-05
"Nip7"	499.864286483586	1.07849789534494	0.209756454663968	5.14166725916827	2.72311075311369e-07	0.000114086500943493
"Emd"	1301.45539293443	1.27183996228113	0.249364331692819	5.10032831739487	3.39064813108637e-07	0.00011947130275762
"Wdhd1"	89.4880909430267	1.94917383983267	0.382501225317133	5.09586299551487	3.4715613088557e-07	0.00011947130275762
"Stc1"	389.710030258707	1.32480305872015	0.259444023729296	5.10631557311357	3.28500915136662e-07	0.00011947130275762
"Eva1b"	211.750597934013	1.81674159223264	0.360020667980422	5.04621471434921	4.50648953898402e-07	0.000144748443992167
"Hnrnpab"	2248.81805778007	1.04878892087058	0.213086400444488	4.92189514996199	8.57101332083601e-07	0.000242912601057576
"Kcne4"	107.258758362456	2.10374395546171	0.434643614049445	4.84015843661374	1.29735656130302e-06	0.000357180794991883
"Rgs2"	109.638599035977	2.09539920110248	0.434955974267167	4.81749722976653	1.45370108703036e-06	0.000378041197807406
"Sdc1"	1109.0399459954	1.23828925788597	0.257161268151868	4.81522457400034	1.47034437320634e-06	0.000378041197807406
"Mcm6"	777.598478334844	1.22306333696348	0.255834810793663	4.78067598842094	1.74706742911862e-06	0.000420868543674675
"Rhebl1"	121.352980697746	1.57982566987068	0.336449433567717	4.69558130360981	2.65849597573767e-06	0.000569272604937959
"Pde3b"	84.7454321368728	1.72037872415256	0.370114852136131	4.64822936508313	3.34796515622643e-06	0.000672104005112455
"Chil1"	53.8711372469068	2.68816293665675	0.583612186227095	4.60607746050514	4.10335591334275e-06	0.000806937501652465
"Gm10184"	340.541789758068	1.37679846166918	0.299853194443525	4.59157510135678	4.39913283437451e-06	0.000847800879840656
"Atxn7l3b"	924.350148367474	1.04852411823842	0.229512258738408	4.56848851561126	4.91253981065973e-06	0.000893155351236173
