"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Ccl2"	7001.64264854155	3.62571482154474	0.215981987817247	16.7871166396183	3.03222799925389e-63	3.64018971310429e-59
"Ccl20"	996.266237297416	5.27809841728287	0.403715624549064	13.0738026876674	4.64825156230471e-39	2.7901130002734e-35
"Nfkbia"	995.404194971866	2.66963914188574	0.223194813870643	11.9610267621764	5.68545338057876e-33	2.27512892779493e-29
"Mmp3"	1004.59683224414	3.8785214811946	0.372205531404719	10.4203757170317	2.00160905292716e-25	6.00732917009763e-22
"Ccl7"	2719.74416211259	1.91461479466374	0.21039344075314	9.1001639015458	9.01956112796206e-20	1.54685473344549e-16
"Cxcl3"	170.121945635456	3.89942471467899	0.442859804090745	8.805099669601	1.30736352124185e-18	1.96186238406355e-15
"Sod2"	967.494237549242	1.84311383662826	0.22441714206252	8.21289238285904	2.15923056705171e-16	2.16013024645464e-13
"Il11"	156.236455647257	3.90394602100823	0.485083394655687	8.04798940557273	8.41652321775038e-16	7.21716865922095e-13
"Ecscr"	123.108035605638	3.82462340405095	0.486987287870601	7.85364115103391	4.04129512333962e-15	3.03223424723076e-12
"Saa3"	984.763141821019	8.58175771951448	1.12612168189839	7.62063092955242	2.52438764237878e-14	1.68362631370874e-11
"Timp3"	3733.7678916117	1.77730233150077	0.235781837978499	7.53791024253041	4.77562362902002e-14	3.01744008770449e-11
"Ptges"	392.491272196156	2.10357675894605	0.28470610773811	7.38859020503011	1.48393738034451e-13	8.53405222959131e-11
"Slco2a1"	122.261976312722	3.29788503138778	0.456318244381334	7.22716014973055	4.93198378103529e-13	2.57428109962299e-10
"Rbp1"	153.135031176883	3.14984379244097	0.45185912665718	6.97085353956061	3.15023800379995e-12	1.5757753014841e-09
"Slpi"	403.261697389063	2.74094514496306	0.394157868774678	6.95392725124037	3.55254857157807e-12	1.70593382407179e-09
"Ak4"	530.479659431	1.68604464999128	0.247647993607251	6.8082306076148	9.8806395339206e-12	4.09024405533506e-09
"Dram1"	402.336025894772	2.08996766523022	0.317838717770931	6.57556033414556	4.84702837247911e-11	1.76329017004884e-08
"Lhfpl2"	237.271282542444	1.88545408819726	0.289293877229975	6.51743516403013	7.15197175996103e-11	2.525277087598e-08
"Mt2"	4313.23129560774	2.08827871803549	0.324313553310086	6.43907322627011	1.20205201267209e-10	4.12303840346525e-08
"Pdlim4"	373.512719239777	1.8773687114935	0.292814371677511	6.41146368854166	1.4412909066535e-10	4.80630481510423e-08
"Inhba"	1520.09171438836	1.75068794071628	0.275143242314033	6.36282369137071	1.98078017364447e-10	6.426828644487e-08
"Sema3c"	95.4838847065619	2.60613719338822	0.417638534026183	6.24017417230191	4.37083936441464e-10	1.27980308706824e-07
"Tes"	167.978768462391	1.83804035891706	0.298001913877143	6.16788105486743	6.92111736348985e-10	1.84640030997101e-07
"Lbp"	326.215209995563	2.11229354750988	0.352437932693496	5.99337741929973	2.0552709998347e-09	5.24205695390775e-07
"Cxcl1"	1967.43551364526	2.14746161538951	0.362435843676999	5.92508068077097	3.12144098974975e-09	7.49457981638915e-07
