"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Ccl2"	7001.64264854155	3.74434138035266	0.197903879300802	18.9199999190591	7.80546201463628e-80	8.90759325110292e-76
"Ccl20"	996.266237297416	6.32910230251265	0.380227874752225	16.6455505310782	3.25954653550285e-62	1.85989725315793e-58
"Nfkbia"	995.404194971866	2.91498302054414	0.206141784175646	14.1406703750094	2.13243268872644e-45	8.1117739479154e-42
"Mmp3"	1004.59683224414	3.91150863955484	0.343131551376513	11.3994432277165	4.20801593543857e-30	1.20054694638062e-26
"Sod2"	967.494237549242	2.10337854953534	0.206098079998595	10.2057163732417	1.86936506764792e-24	4.26663883039961e-21
"Ccl7"	2719.74416211259	1.88872601103216	0.192614859683556	9.80571288287475	1.06393068168317e-22	2.02359615656138e-19
"Slc7a2"	812.197471412303	2.52229618045747	0.295979211797262	8.52186937434368	1.56998402868932e-17	1.79166577354025e-14
"Saa3"	984.763141821019	8.93453881531063	1.05933433572693	8.43410669699441	3.33742131776084e-17	3.46242291620789e-14
"Ecscr"	123.108035605638	3.78197930888707	0.461585639734527	8.19345097274303	2.53840883374888e-16	2.41402680089518e-13
"Ass1"	102.290758720497	3.64691828586468	0.447474038801112	8.15001088249862	3.63891524552317e-16	3.19440775245464e-13
"Cfb"	501.192429338806	2.53781923947706	0.313263175151417	8.10123704533862	5.4403128589555e-16	4.43463216760002e-13
"Ptges"	392.491272196156	2.07956436319954	0.262887866233354	7.91046157053745	2.56436328359326e-15	1.95096758615775e-12
"Slco2a1"	122.261976312722	3.26651009693996	0.42951479546405	7.6051165907121	2.84647162371376e-14	1.80466300943452e-11
"H2-K1"	628.674944221415	2.07313756929443	0.281562775235207	7.36296752140837	1.79866146051765e-13	1.02631622937137e-10
"Tapbp"	483.222843933249	1.96475589227591	0.280134756332337	7.01360987119011	2.32246424448616e-12	1.06015847832304e-09
"Cxcl3"	170.121945635456	2.85072121729932	0.416975207571123	6.83666838108853	8.10560757085014e-12	3.30361405709078e-09
"Enpp2"	273.882929073485	2.74643962611113	0.402660222487754	6.82073736795458	9.05743952617917e-12	3.56425861630196e-09
"Ch25h"	378.447317096956	5.56650503806032	0.823407147202933	6.76033121277782	1.37676636775295e-11	5.23721926293223e-09
"Mt2"	4313.23129560774	1.98234988294434	0.296311262347604	6.69009293551198	2.230289122608e-11	8.21034176361373e-09
"Dram1"	402.336025894772	1.91874610638425	0.292791797411844	6.55327821115604	5.62875082561063e-11	1.94652437642026e-08
"Cxcl16"	75.6000697401158	3.0245851888123	0.466202203413261	6.48771105470556	8.7150210788647e-11	2.925171192706e-08
"Rnd1"	175.150612332685	2.27045072864338	0.354392647093428	6.40659660200236	1.48803841432741e-10	4.85185553837268e-08
"Timp3"	3733.7678916117	1.38010295386452	0.215591295783444	6.4014780784601	1.53879910017698e-10	4.87799314756101e-08
"Ak4"	530.479659431	1.42939591437828	0.228041606659147	6.26813648315851	3.65394458863971e-10	1.06920040116811e-07
"Nfkbie"	52.5841734890728	4.01265805577796	0.641376216987167	6.25632499225997	3.94154949003511e-10	1.12452406950702e-07
"Grem2"	171.808654078635	1.80290293199349	0.290054712075473	6.21573398719472	5.10852852214509e-10	1.35577970917953e-07
"Lbp"	326.215209995563	2.00286934542972	0.324852035025331	6.16548191016733	7.02688033824533e-10	1.82251723681945e-07
"Irf1"	319.492761393381	1.71026994918214	0.279830210068743	6.11181311968425	9.85054977667762e-10	2.49809942336544e-07
"Icam1"	85.5822964509947	3.33666918132809	0.548653274313331	6.081562505034	1.19016951034492e-09	2.95265531566439e-07
"Fabp7"	89.4888283176547	2.96744720151162	0.489083333780007	6.0673652045694	1.30025665073056e-09	3.15713380811428e-07
"Col5a3"	1321.33458065722	1.46905547522872	0.247894143837281	5.92614029717871	3.10137646716888e-09	7.37352255069401e-07
"Tmem176b"	294.861073088772	1.65135913701219	0.279488043834777	5.90851441927303	3.45206602211666e-09	8.03979131518271e-07
"Egln3"	51.7846199622316	3.41792397130704	0.582572152595358	5.86695391477295	4.43873982105238e-09	9.93233310546073e-07
"Ccl5"	43.3672026559379	3.5504453722584	0.606147394122398	5.85739608333855	4.70180832867366e-09	1.031866089362e-06
"Vcam1"	1495.36472784249	1.1881834377161	0.203241522713479	5.84616480851284	5.03035676990015e-09	1.08314021619058e-06
"Tnip1"	406.382170708877	1.50809339308113	0.260089525995149	5.79836264959499	6.69655166504992e-09	1.38947359275545e-06
"Ripk2"	233.169478861492	1.69299211807287	0.294748246605809	5.74385814866966	9.2543322004156e-09	1.85281472054637e-06
"Inhba"	1520.09171438836	1.44402168743675	0.251836290520498	5.73396981210386	9.81068002868531e-09	1.93033587047167e-06
"Bid"	124.974630358824	2.04605529758047	0.365152255176516	5.60329360855625	2.10316514406578e-08	3.81023788885736e-06
"Lbh"	391.973599568377	1.68059280340949	0.300690281097768	5.58911580804654	2.2822871419158e-08	4.06960325992862e-06
"C3"	332.703051059034	3.77128995411003	0.677508237909273	5.56641195352528	2.60038077196551e-08	4.56546851841083e-06
"Ifngr2"	150.554526897598	1.72242227896187	0.309846571526114	5.55895219520513	2.71399013292155e-08	4.69273566619707e-06
"Galnt18"	86.531433999564	2.45070184780429	0.441626379991366	5.54926507753499	2.86872941503273e-08	4.88625971408261e-06
"Rai14"	103.762217485796	1.88904614605658	0.342432413856304	5.51655179129534	3.45715639895585e-08	5.80192188601238e-06
"Igfbp7"	1384.69112878013	1.25484378985334	0.233060106998692	5.38420670106524	7.27648476375495e-08	1.18627491605673e-05
"Slc16a3"	946.400603748241	1.52584806327843	0.285922907877396	5.33657157660384	9.47204905273829e-08	1.50131977485902e-05
"Birc3"	78.5720619488769	2.63093979913194	0.493487697508899	5.33131790805078	9.75025573764582e-08	1.52424545860293e-05
"Hp"	311.076289438351	3.40880159648702	0.652036787352293	5.22792833565272	1.71419924842802e-07	2.50800536193084e-05
"Rftn1"	139.038855121486	1.57700390984489	0.302318983572137	5.21635754133382	1.82475794834754e-07	2.63596679829647e-05
"Cxcl5"	3716.52715899811	1.32276370749975	0.253747916199391	5.21290470996556	1.85906404220942e-07	2.65195485621173e-05
"Foxs1"	61.8232159509866	2.77125391685122	0.532499443435787	5.20423814712474	1.94794075641121e-07	2.74443208792158e-05
"Sema3c"	95.4838847065619	2.03465996100892	0.392721684206743	5.18092084759395	2.20793175574846e-07	3.07279478007334e-05
"Jak2"	239.071994688146	1.50446517341358	0.291777722278646	5.15620302216501	2.52007656762923e-07	3.46495346864877e-05
"Psmb8"	63.3785425634416	2.66939526480636	0.523922186501484	5.09502237847833	3.48700063431225e-07	4.68160602809076e-05
"Ccl8"	26.5146908313792	4.90657993514341	0.978221756322358	5.01581558928906	5.28089629740962e-07	7.00762657512077e-05
"Mt1"	1320.33388407709	1.35426780705327	0.271038813792886	4.99658254883055	5.83552019800318e-07	7.65459270110486e-05
"Flnb"	661.645162871955	1.2698017288292	0.258561172953948	4.91103019963237	9.05991318579586e-07	0.000113617284919014
"Tmem176a"	385.156520329392	1.28731770006537	0.26518840505333	4.85435138013099	1.20781410869356e-06	0.000148210479660332
"Gnptab"	198.431141837976	1.4633480163783	0.302228252975517	4.84186373038012	1.2862696509899e-06	0.000152905304761424
"Ugt1a7c"	422.104709300538	1.60923211303911	0.333698855164045	4.82240825263849	1.41835274190678e-06	0.000166678567031467
"Serpina3g"	37.7541607601598	3.27576040782508	0.679535192316854	4.82058978675773	1.43134416132875e-06	0.000166678567031467
"Ccnd1"	456.302408799368	1.41887142217904	0.294562902547625	4.81687072576845	1.458270975079e-06	0.000168098872400016
"Ppm1h"	42.021831718778	2.49026911616347	0.523382219774265	4.75803155337896	1.95489946021569e-06	0.000216595268349335
"Plk2"	96.0058176393111	1.75643650553277	0.369895717014229	4.74846402578164	2.04967336546818e-06	0.000224912235064643
"Gbp2"	59.7381224360695	2.46197129901046	0.519205349503827	4.74180649595234	2.11820895311671e-06	0.000228047175216678
"Spp1"	1336.79890579148	1.51561810156096	0.320306609615635	4.73177279538406	2.22567452536417e-06	0.000237377548443513
